ID;DES_CARGO
350;Gestor em Pol¡ticas P£blicas e Gest?o Governamental - M‚dico
351;Especialista em Assistˆncia Social - M‚dico
352;Analista de Apoio …s Atividades Policiais Civis - M‚dico
353;Analista de Atividades do Hemocentro - M‚dico
354;Analista de Gest?o Educacional - M‚dico
355;Analista de Desenvolvimento e Fiscaliza‡?o Agropecu ria - M‚dico
356;Analista de Atividades Rodovi rias - M‚dico
357;Analista de Gest?o de Res¡duos S¢lidos - M‚dico
358;Analista de Trƒnsito - M‚dico
359;Agente de Atividades Penitenci rias
36;Soldado - 1¦ Classe
360;Analista de Atividades do Hemocentro
361;T‚cnico de Atividades do Hemocentro
362;Agente de Atividades do Hemocentro
363;Analista de Atividades do Meio Ambiente
364;T‚cnico de Atividades do Meio Ambiente
365;Especialista em Transportes Urbanos
366;Analista de Transportes Urbanos
367;T‚cnico de Transportes Urbanos
368;Auxiliar de Transportes Urbanos
369;Gestor em Pol¡ticas P£blicas e Gest?o Governamental
37;Soldado - 2¦ Classe
370;Analista em Pol¡ticas P£blicas e Gest?o Governamental
371;Assistente em Pol¡ticas P£blicas e Gest?o Governamental
372;T‚cnico em Pol¡ticas P£blicas e Gest?o Governamental
373;Analista de Atividades Culturais
374;T‚cnico de Atividades Culturais
375;Auxiliar de Atividades Culturais
376;Analista de Gest?o de Res¡duos S¢lidos
377;Assistente de Gest?o de Res¡duos S¢lidos
378;Agente de Gest?o de Res¡duos S¢lidos
379;Analista Jur¡dico
38;Procurador do DF-1¦ Categoria
380;T‚cnico Jur¡dico
381;Agente Jur¡dico
382;M£sico
383;Auxiliar Legislativo
384;Assistente Legislativo
385;T‚cnico Legislativo
386;Consultor Legislativo
387;Consultor T‚cnico-Legislativo
388;Procurador Legislativo
389;Tecnico Legislativo - Agente de Pol¡cia Legislativa
39;Subprocurador-Geral do DF
390;Gestor de Apoio …s Atividades Policiais Civis do Distrito Federal - Medicina
391;Gestor de Apoio …s Atividades Policiais Civis do Distrito Federal
392;Analista de Apoio …s Atividades Policiais Civis do Distrito Federal
393;Assistente de Apoio …s Atividades Policiais Civis do Distrito Federal
394;Agente de Atividades Complementares de Seguran‡a P£blica
395;Inspetor Fiscal
396;Analista de Planejamento e Gest?o Urbana e Regional
397;T‚cnico de Planejamento e Gest?o Urbana e Regional
398;Auxiliar de Administra‡?o P£blica ( reas em extin‡?o)
399;Auxiliar de Administra‡?o P£blica
4;Analista de Apoio …s Atividades Jur¡dicas
40;Agente de Pol¡cia
400;T‚cnico de Controle Externo
401;T‚cnico de Administra‡?o P£blica
402;Auditor de Controle Externo
403;Analista Administra‡?o P£blica
404;Auditor-Fiscal da Receita do Distrito Federal
405;Analista de Desenvolvimento e Fiscaliza‡?o Agropecu ria
406;T‚cnico de Desenvolvimento e Fiscaliza‡?o Agropecu ria
407;Auxiliar de Desenvolvimento e Fiscaliza‡?o Agropecu ria
408;Agente de Gest?o Fazend ria
409;T‚cnico de Gest?o Fazend ria
41;Delegado
410;Analista de Gest?o Fazend ria
411;Auditor de Atividades Urbanas
412;Auditor Fiscal de Atividades Urbanas
413;Especialista de Trƒnsito
414;Analista Administrativo de Trƒnsito
415;Agente de Vigilƒncia Ambiental em Sa£de
416;Agente Comunit rio de Sa£de
417;Auditor Fiscal de Trƒnsito
418;Regulador de Servi‡os P£blicos
419;Advogado
42;Perito Criminal
420;T‚cnico de Regula‡?o de Servi‡os P£blicos
421;Enfermeiro
423;Especialista em Sa£de
424;Gari
425;Especialista Socioeducativo
426;Atendente de Reintegra‡?o Socioeducativo
427;T‚cnico Socioeducativo
428;Auxiliar Socioeducativo
429;Agente Fiscal Tribut rio
43;Perito M‚dico-Legista
430;TCB TŠcnico Especializado
431;Agente Policial de Cust¢dia
432;Analista de Gest?o Educacional - Odont¢logo
433;Armazenista
434;Eletricista
435;Operador
436;T‚cnico Sanit rio
437;Analista de Gest?o Educacional - Arquitetura
438;Analista de Gest?o Educacional - Engenharia Civil
439;Analista de Gest?o Educacional - Engenharia de Seguran‡a do Trabalho
44;Papiloscopista Policial
440;T‚cnico de Gest?o Educacional - Seguran‡a do Trabalho
441;T‚cnico de Gest?o Educacional - Desenho
442;T‚cnico Rural
443;Carpinteiro
444;Motorista
445;Auxiliar de Fiscaliza‡?o
446;Procurador de 2¦ Categoria - QE
447;Procurador de 1¦ Categoria - QE
448;Procurador Especial - QE
449;Bombeiro Hidr ulico
45;Escriv?o de Pol¡cia
450;Art¡fice
451;Agente Socioeducativo
452;Diretor-Geral de Administra‡?o
453;Agente de Suporte
454;Assistente T‚cnico
455;Top¢grafo
456;Assistente Administrativo
457;Oficial Administrativo
458;Top¢grafo
459;Bombeiro Art¡fice
46;Agente Penitenci rio
460;Mestre de Bombeiro II
461;Auxiliar Administrativo
462;Mecƒnico
463;T‚cnico Saneamento II
464;Assistente Comercial
465;T‚cnico Especialista
466;Servente
467;T‚cnico de Laborat¢rio
47;M‚dico
48;Enfermeiro
49;Cirurgi?o-Dentista
50;Auxiliar de Sa£de
51;Especialista em Sa£de
52;T‚cnico em Sa£de
53;Professor - N¡vel 1
54;Especialista de Educa‡?o
55;Conselheiro do TCDF
56;Auditor do TCDF
58;Procurador do MPTCDF
59;Auxiliar de Administra‡?o P£blica - Agente de Portaria
6;Auxiliar de Apoio …s Atividades Jur¡dicas
60;Auxiliar de Administra‡?o P£blica - Auxiliar de Laborat¢rio
